N;Gestosc;Kahn_MS_sr;Kahn_MS_odch;Kahn_LN_sr;Kahn_LN_odch;Kahn_LK_sr;Kahn_LK_odch;Tarjan_MS_sr;Tarjan_MS_odch;Tarjan_LN_sr;Tarjan_LN_odch;Tarjan_LK_sr;Tarjan_LK_odch
100;0.1;0.16762;0.00210228;0.01709;0.000553986;0.07577;0.00116108;0.10376;0.000737835;0.01559;0.00022561;0.27933;0.00648306
200;0.1;0.64893;0.00435593;0.04525;0.000361248;0.52056;0.00439459;0.40657;0.0070993;0.05055;0.00187257;2.26925;0.288255
300;0.1;1.45942;0.0146971;0.08874;0.00486851;1.69323;0.00783595;0.91286;0.0136233;0.10442;0.00184868;7.36936;0.0805947
400;0.1;2.54605;0.0330514;0.13943;0.00258265;3.91619;0.0260674;1.59553;0.0177663;0.1763;0.0028178;17.2644;0.187576
500;0.1;3.99996;0.0169382;0.20963;0.00480875;7.62166;0.0190231;2.49212;0.0104023;0.26885;0.00214348;33.7896;0.0725476
600;0.1;5.76796;0.0261982;0.30941;0.00427982;13.1033;0.0426366;3.65167;0.161352;0.38283;0.00511411;58.1978;0.175034
700;0.1;7.83589;0.0547557;0.39874;0.00938906;20.7319;0.0662269;4.93576;0.150676;0.51312;0.00762192;92.891;0.476296
800;0.1;10.1489;0.0423847;0.51161;0.00611775;30.6724;0.135939;6.37642;0.15734;0.6625;0.0166716;137.7;1.47834
900;0.1;12.9015;0.0752971;0.64225;0.00857919;45.177;3.79609;8.08508;0.0691831;0.84732;0.0182067;197.361;1.31483
1000;0.1;15.8158;0.0735129;0.77798;0.00238864;59.7645;0.189955;9.91807;0.0762038;1.0293;0.0169008;268.672;1.52006
100;0.5;0.22156;0.00159261;0.04214;0.00147255;0.34624;0.00496653;0.13386;0.00208336;0.05383;0.00348053;1.37685;0.0397386
200;0.5;0.87307;0.0077909;0.14784;0.00430655;2.51946;0.007713;0.52286;0.00485514;0.19861;0.000687677;10.7598;0.0256188
300;0.5;1.95621;0.0123913;0.31922;0.00589064;8.37536;0.0320186;1.17702;0.00376903;0.44669;0.00481299;36.675;0.213075
400;0.5;3.47435;0.0491769;0.5535;0.00779795;19.6865;0.501548;2.15678;0.220173;0.81862;0.0913334;86.6306;1.21516
500;0.5;5.44336;0.0640439;0.88306;0.0765572;49.242;12.9409;3.29399;0.0751667;1.23628;0.0156211;169.688;2.02587
600;0.5;7.80925;0.0408204;1.23042;0.0147997;109.741;13.8885;4.7648;0.144146;1.78669;0.0249141;294.346;2.55926
700;0.5;10.6789;0.147659;1.67768;0.0278981;166.778;26.7633;6.40162;0.0518457;2.40599;0.0184475;474.493;4.38659
800;0.5;14.1888;0.398011;2.22064;0.0142783;256.523;37.8756;8.53609;0.148673;3.20038;0.0299822;714.107;11.0169
900;0.5;17.781;0.0453929;2.83411;0.132778;386.522;49.9344;10.7295;0.0651111;4.02844;0.0195797;1025.24;10.724
1000;0.5;21.7432;0.217015;3.44762;0.192155;505.519;92.4923;13.0937;0.0884847;4.91723;0.0537418;1382.93;12.3745
100;0.9;0.20794;0.00116465;0.06836;0.00144997;0.61941;0.00491781;0.1297;0.000649615;0.09086;0.000402989;2.49854;0.0363314
200;0.9;0.80975;0.00892045;0.25082;0.00398291;4.56667;0.0318371;0.50621;0.00238975;0.35127;0.00261383;20.0246;1.86333
300;0.9;1.81525;0.0155454;0.55407;0.0112943;15.7029;1.28288;1.14799;0.0238708;0.79978;0.014695;66.0879;0.457291
400;0.9;3.21781;0.0139636;0.96991;0.00372222;48.0134;9.11126;2.05971;0.053042;1.41866;0.0150248;157.813;1.9546
500;0.9;5.01036;0.0209748;1.5117;0.0141151;101.596;24.8819;3.17099;0.014354;2.2014;0.0132669;311.306;5.14614
600;0.9;7.158;0.0301388;2.15468;0.0219672;155.528;32.0178;4.51836;0.0285978;3.1436;0.0524886;534.36;6.60189
700;0.9;9.7636;0.0756461;2.93417;0.0122816;292.086;56.2524;6.16066;0.0281667;4.27528;0.018448;847.52;13.2052
800;0.9;12.7973;0.154461;3.83702;0.0219139;434.098;72.1406;8.0452;0.0775764;5.57083;0.0332027;1282.88;16.7623
900;0.9;16.1026;0.0794618;4.83286;0.0344124;590.516;118.027;10.1643;0.056519;7.03614;0.0350085;1810.12;14.253
1000;0.9;19.8832;0.120582;6.05284;0.292191;844.292;136.302;12.5192;0.111083;8.74265;0.20054;2497.97;29.3954
